day,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,refresh_date
2025-09-19,169,160,57,47.43,1,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-22,493,573,69,51.56,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-23,77,90,70,54.010000000000005,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-24,21,18,52,39.14,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-25,17,17,62,58.5,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-26,27,21,48,46.0,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-27,1,0,0,6.0,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-28,2,1,55,34.37,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-09-29,335,379,68,50.19,0,0,0,0,0,5,2025-10-21T01:36:00-07:00
2025-09-30,63,63,60,47.5,0,0,1,0,0,0,2025-10-21T01:36:00-07:00
2025-10-01,5,4,48,32.89,0,0,2,0,0,0,2025-10-21T01:36:00-07:00
2025-10-03,6,2,20,12.879999999999999,1,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-04,2,1,32,16.96,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-06,7,3,31,23.6,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-07,1,0,21,11.39,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-08,1,0,17,13.200000000000001,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-10,4,1,18,13.87,0,0,0,0,0,0,2025-10-21T01:36:00-07:00
2025-10-13,2,0,17,23.16,0,0,1,0,0,0,2025-10-21T01:36:00-07:00
2025-10-17,0,0,0,0.0,0,0,-3,0,0,0,2025-10-21T01:36:00-07:00
2025-10-18,1,0,12,9.16,0,1,0,0,0,0,2025-10-21T01:36:00-07:00
