day,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,refresh_date
2025-10-01,5,4,48,32.89,0,0,2,0,0,0,2025-11-02T01:28:19-07:00
2025-10-03,6,2,20,12.879999999999999,1,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-04,2,1,32,16.96,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-06,7,3,31,23.6,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-07,1,0,21,11.39,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-08,1,0,17,13.200000000000001,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-10,4,1,18,13.87,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-13,2,0,17,23.16,0,0,1,0,0,0,2025-11-02T01:28:19-07:00
2025-10-17,0,0,0,0.0,0,0,-3,0,0,0,2025-11-02T01:28:19-07:00
2025-10-18,1,0,12,9.16,0,1,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-20,4,0,4,2.91,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-21,2,6,189,113.65,0,0,3,0,0,0,2025-11-02T01:28:19-07:00
2025-10-24,3,0,12,9.26,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-28,3,1,36,26.58,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-29,1,0,21,16.17,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
2025-10-30,1,0,31,208.67,0,0,0,0,0,0,2025-11-02T01:28:19-07:00
